,runid,name,it,net,bias,cuda,load,test,epochs,logdir,readme,datadir,dataset,preproc,resdown,workers,oe_limit,quantile,gauss_std,loss_mode,batch_size,noise_mode,acc_batches,normal_class,weight_decay,blur_heatmaps,learning_rate,nominal_label,log_start_time,lr_sched_param,optimizer_type,scheduler_type,supervise_mode,log_start_time_str,normal_class_label,_runtime,_timestamp,test_rocauc,lr,loss,_step,epoch,_wandb,loss_normal,loss_anomalous
0,3t7mzjkh,mvtec_fcdd_20220526141117.normal_7.it_2,2,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220526141117/normal_7/it_2,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-level-balanced-hubert-factor-average,16,confetti,8,7,0.0001,False,0.001,0,1653567077,[0.985],sgd,lambda,malformed_normal_gt,20220526141117,metal_nut,2831.0,1653701690.0,0.9562414606869588,0.0004768428712720824,0.1642083078622818,50.0,49.0,{'runtime': 2831},,
1,3llhc7wz,mvtec_fcdd_20220526141117.normal_7.it_1,1,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220526141117/normal_7/it_1,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-level-balanced-hubert-factor-average,16,confetti,8,7,0.0001,False,0.001,0,1653567077,[0.985],sgd,lambda,malformed_normal_gt,20220526141117,metal_nut,2830.0,1653698851.0,0.9480941790911324,0.0004768428712720824,0.1680474579334259,50.0,49.0,{'runtime': 2830},,
2,2r45uq89,mvtec_fcdd_20220526141117.normal_7.it_0,0,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220526141117/normal_7/it_0,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-level-balanced-hubert-factor-average,16,confetti,8,7,0.0001,False,0.001,0,1653567077,[0.985],sgd,lambda,malformed_normal_gt,20220526141117,metal_nut,2812.0,1653696014.0,0.9573920331257304,0.0004768428712720824,0.1752350777387619,50.0,49.0,{'runtime': 2811},,
3,136a5aqo,mvtec_fcdd_20220526141117.normal_6.it_2,2,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220526141117/normal_6/it_2,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-level-balanced-hubert-factor-average,16,confetti,8,6,0.0001,False,0.001,0,1653567077,[0.985],sgd,lambda,malformed_normal_gt,20220526141117,leather,3108.0,1653693195.0,0.9835460161343056,0.0004768428712720824,0.1601768583059311,50.0,49.0,{'runtime': 3109},,
4,3avxnzkf,mvtec_fcdd_20220526141117.normal_6.it_1,1,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220526141117/normal_6/it_1,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-level-balanced-hubert-factor-average,16,confetti,8,6,0.0001,False,0.001,0,1653567077,[0.985],sgd,lambda,malformed_normal_gt,20220526141117,leather,3174.0,1653690080.0,0.9804684750386378,0.0004768428712720824,0.14435352385044098,50.0,49.0,{'runtime': 3174},,
5,m1k3ssgs,mvtec_fcdd_20220526104525.normal_7.it_2,2,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220526104525/normal_7/it_2,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-level-balanced-hubert-factor-average,16,confetti,8,7,0.0001,False,0.001,0,1653554725,[0.985],sgd,lambda,malformed_normal_gt,20220526104525,metal_nut,2885.0,1653689422.0,0.950396900263886,0.0004768428712720824,0.1627928614616394,50.0,49.0,{'runtime': 2884},,
6,vdpye3o2,mvtec_fcdd_20220526104525.normal_7.it_1,1,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220526104525/normal_7/it_1,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-level-balanced-hubert-factor-average,16,confetti,8,7,0.0001,False,0.001,0,1653554725,[0.985],sgd,lambda,malformed_normal_gt,20220526104525,metal_nut,2779.0,1653686531.0,0.9487337100030496,0.0004768428712720824,0.1844414174556732,50.0,49.0,{'runtime': 2779},,
7,2ezb3zeo,mvtec_fcdd_20220526141117.normal_6.it_0,0,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220526141117/normal_6/it_0,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-level-balanced-hubert-factor-average,16,confetti,8,6,0.0001,False,0.001,0,1653567077,[0.985],sgd,lambda,malformed_normal_gt,20220526141117,leather,4874.0,1653686899.0,0.9810781587503808,0.0004768428712720824,0.11837921291589736,50.0,49.0,{'runtime': 4868},,
8,3mxt7tne,mvtec_fcdd_20220526104525.normal_7.it_0,0,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220526104525/normal_7/it_0,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-level-balanced-hubert-factor-average,16,confetti,8,7,0.0001,False,0.001,0,1653554725,[0.985],sgd,lambda,malformed_normal_gt,20220526104525,metal_nut,2707.0,1653683744.0,0.9611145207580865,0.0004768428712720824,0.09851490706205368,50.0,49.0,{'runtime': 2708},,
9,250b0voe,mvtec_fcdd_20220526141124.normal_14.it_2,2,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220526141124/normal_14/it_2,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-level-balanced-hubert-factor-average,16,confetti,8,14,0.0001,False,0.001,0,1653567084,[0.985],sgd,lambda,malformed_normal_gt,20220526141124,zipper,5647.0,1653685696.0,0.9548213304252436,0.0004768428712720824,0.17990891635417938,50.0,49.0,{'runtime': 5643},,
