,runid,name,normal_class,loss_mode,noise_mode,test_rocauc
201,19esgtgf,mvtec_fcdd_20220520004942.normal_7.it_2,7,pixel-wise-averages-per-image,confetti,"[0.6094272810804251, 0.623691194026446, 0.6573364988577433, 0.7001955918137457, 0.7323390214087485, 0.7834626851118807, 0.8268588449570381, 0.829679317788038, 0.875103831970206, 0.8885028571428571, 0.9140181335692171, 0.9197755015880351, 0.9193750456404264, 0.9242161544910862, 0.9392524114637235, 0.9411396300341535, 0.9312230137285407, 0.928599202774142, 0.9440177051413007, 0.9427910755326121, 0.9506054742224712, 0.9379598272966263, 0.953647935866642, 0.937289784381295, 0.9538676052267702, 0.9389982064412155, 0.9359074296269398, 0.9444228217602831, 0.9443197067778074, 0.9459155663351079, 0.9331366296045471, 0.9464869668921458, 0.9477038147336775, 0.9492303817881343, 0.9393891214482666, 0.9540485305123763, 0.9425391723583767, 0.9492223940688369, 0.946629392487289, 0.9427605141038412, 0.9476578862596065, 0.9464347020049436, 0.9402192164179105, 0.9519027346540054, 0.9459487680343923, 0.9374465827560832, 0.9483249249788542, 0.9367374043628417, 0.9468614555256065, 0.9405671149388184, 0.9437787192818196]"
205,de7k9tol,mvtec_fcdd_20220520004942.normal_7.it_1,7,pixel-wise-averages-per-image,confetti,"[0.5748556161468311, 0.6742045600432764, 0.6837226008318709, 0.6852352845171686, 0.7373153897109045, 0.7642671102908685, 0.8049397585687909, 0.7935982862187788, 0.8433285370436374, 0.8337952552003433, 0.8769449100903872, 0.8897150060852087, 0.8999049093321538, 0.8949170793650794, 0.8888337933501294, 0.8943473532873648, 0.9108753900512215, 0.9156337024328236, 0.9164679678080961, 0.9242105014094443, 0.9252553693033002, 0.9219895180351454, 0.9345719902206951, 0.9190507471757472, 0.9284104221027746, 0.938496642777259, 0.9302108113183923, 0.9507487754977433, 0.9305176032632372, 0.9378184978285232, 0.939800539083558, 0.9341404211293505, 0.9307580020058135, 0.9367860894795644, 0.9373477615701208, 0.9420075471698114, 0.9436557909184583, 0.9391784123021446, 0.9269882072232902, 0.9364913712686568, 0.9434002107237962, 0.9360250113476992, 0.9320145953118089, 0.9474190241090561, 0.9308528301886791, 0.9385962139412222, 0.9465793918918919, 0.9528189791516894, 0.940126714051717, 0.9388863976643611, 0.9359657205588326]"
206,1qrzqzwa,mvtec_fcdd_20220520004942.normal_7.it_0,7,pixel-wise-averages-per-image,confetti,"[0.5908443990466462, 0.6618416864818362, 0.7539881127812161, 0.7588356921716054, 0.785502276418435, 0.8153977221773832, 0.8437494582271458, 0.8618928872053873, 0.8624921035524064, 0.8978489732884843, 0.8862259477586016, 0.9162726763047254, 0.9084588052674858, 0.9298564057871394, 0.9191119600877119, 0.9401569586545049, 0.9271954803141416, 0.9396175235501079, 0.941669143523953, 0.950132990733549, 0.9284583829504062, 0.9358379062895735, 0.9333799761505596, 0.9543825651130632, 0.9405120513171598, 0.949566525687987, 0.946123421512299, 0.9433910146356389, 0.9500904483212457, 0.9519362812414173, 0.9500373965221235, 0.9430429597947715, 0.9493022148940148, 0.9492219685525956, 0.9566179961754752, 0.9494404726040985, 0.9536301886792453, 0.9512394858235579, 0.9459199443121323, 0.9540723273139247, 0.9384422581125031, 0.9508546749323661, 0.9440419607893378, 0.9469433716319332, 0.9512972420837589, 0.9505731429753775, 0.9497001897379347, 0.9466610783291312, 0.9521950467577844, 0.93629328114335, 0.9445029270695333]"
212,24bmtuif,mvtec_fcdd_20220520004942.normal_6.it_2,6,pixel-wise-averages-per-image,confetti,"[0.7351181390805299, 0.9122083966003431, 0.9702258598995902, 0.9728556524331171, 0.9806764759753342, 0.9890405691213229, 0.9795095733960363, 0.9754994388327722, 0.9885221179624664, 0.9849102447289758, 0.9740003360215053, 0.9887533325094017, 0.9846102115772594, 0.9822087948976167, 0.9661095516468801, 0.9879364986636677, 0.9927090301003344, 0.9672852043935242, 0.9851025210084033, 0.9810831937465103, 0.992297387809779, 0.974037946456379, 0.9849447975911676, 0.9865268456375839, 0.9880761471212043, 0.9909945662128334, 0.9822453237946195, 0.9892689470154259, 0.9925256581883088, 0.9835494448170505, 0.9859013091641491, 0.98289614603814, 0.9863093243997767, 0.9894738803189508, 0.9852778976646046, 0.9784261122289292, 0.9859249329758714, 0.9796655021529962, 0.9856543624161074, 0.9888233627771625, 0.9839058823529412, 0.9836014691428276, 0.9888963210702342, 0.9850377275887822, 0.9790631196724267, 0.9800201680672268, 0.9809307795698925, 0.9857870777507631, 0.9862391085790885, 0.9884443217447891, 0.9845468116488328]"
214,154orm5f,mvtec_fcdd_20220520004942.normal_6.it_1,6,pixel-wise-averages-per-image,confetti,"[0.5610992762018662, 0.9473256147737059, 0.9588084059915046, 0.981938240435036, 0.9790954773869347, 0.9901445711304866, 0.9691848791188384, 0.9797376336898396, 0.9807221982448566, 0.9746479323518598, 0.9836953915503764, 0.9891048765170657, 0.9850503355704698, 0.9862914489679789, 0.9864026164662254, 0.9901272071387888, 0.9880334574760364, 0.9855369127516778, 0.9787380181940291, 0.9836409395973154, 0.9891903964265772, 0.9775671452147625, 0.9856945375335121, 0.9890561084315282, 0.9749497319034852, 0.9855851382337047, 0.9760705893636408, 0.9879235155987923, 0.9844295302013423, 0.9818901432723343, 0.9821054118362867, 0.9887770309315976, 0.9882864792503346, 0.9815980488089848, 0.9795361344537815, 0.9827828316747054, 0.9862018438244093, 0.9825882352941177, 0.9840189343163539, 0.9766238810713466, 0.9892953020134228, 0.9887598351442488, 0.9788715725479937, 0.9818186500476423, 0.9797759325966175, 0.9734060402684563, 0.9834410651283768, 0.9822406566283536, 0.9823569023569023, 0.9792085848423877, 0.9834103710571872]"
219,2bj73790,mvtec_fcdd_20220520004942.normal_6.it_0,6,pixel-wise-averages-per-image,confetti,"[0.7379593663581578, 0.9831678895123004, 0.9827582356225573, 0.9729536571747628, 0.987576659896275, 0.9809671780928335, 0.9783724832214765, 0.9843794852167256, 0.9870760430092339, 0.9831989114787718, 0.9788173485356585, 0.9644871365661456, 0.9742050530553152, 0.9862181635388739, 0.9867336683417085, 0.9839249832551908, 0.9664770191878626, 0.9730227882037534, 0.9729514998499268, 0.9686208821887214, 0.9730689075630252, 0.9585036292573982, 0.9842756774841084, 0.986325358605238, 0.975922383703733, 0.9699288749981744, 0.9837729614695341, 0.9852249832102082, 0.9773032541669211, 0.9777181608167523, 0.9807729656243931, 0.9735289886347288, 0.9796761585706308, 0.973547405296647, 0.9712134453781512, 0.9690052590354705, 0.9785949579831933, 0.9688755020080322, 0.9747598267235729, 0.9638496863799282, 0.9678435966086568, 0.9702550307795769, 0.969561609491693, 0.9812017455521986, 0.9782098558498156, 0.9817102480292252, 0.9596989966555184, 0.9715356903485255, 0.9772536863270778, 0.9865951742627346, 0.975185560918416]"
223,aifxh453,mvtec_fcdd_20220520004942.normal_14.it_2,14,pixel-wise-averages-per-image,confetti,"[0.7479085064713897, 0.7525088385779222, 0.7665226491707798, 0.7957387646793135, 0.7534733484100573, 0.8056088463241243, 0.8193721290156696, 0.859197117342243, 0.8464088740162361, 0.8682358075288403, 0.9232041981787313, 0.9105452156382748, 0.9041853699828913, 0.8362022936642225, 0.9296458480476238, 0.9196537211018689, 0.9435838024068323, 0.9196535314939404, 0.9441708175525299, 0.9405995244565216, 0.928186538649946, 0.9080497318381278, 0.9423428985013624, 0.9587570211792792, 0.93182206284153, 0.954412265758092, 0.9503957018032395, 0.9701518738464008, 0.9220346860796299, 0.9581678476771712, 0.9193799332119004, 0.959748000845119, 0.9539385316678445, 0.939313243257157, 0.9387655255192568, 0.9391270112325439, 0.9509794316472547, 0.931880658602228, 0.9606213678849783, 0.9336891202132206, 0.9657192578540893, 0.9621583565914863, 0.9417956220268774, 0.9504626866504163, 0.9503081252448973, 0.934074821925602, 0.9496456056893848, 0.9318279083857874, 0.9462467674385258, 0.9339139558035421, 0.9451304932308778]"
230,2st3hc1p,mvtec_fcdd_20220520004942.normal_14.it_1,14,pixel-wise-averages-per-image,confetti,"[0.6678382073118915, 0.7453020573974577, 0.7217083289844484, 0.7526610883424407, 0.8108452365351855, 0.8041836734693877, 0.8158536299491315, 0.8233151183970856, 0.8002935395098939, 0.8877962446377085, 0.8152437641723356, 0.8330236672267176, 0.8562063600485733, 0.8589770098913729, 0.8884856935813259, 0.8790816662640812, 0.8884936355751423, 0.8886943059794901, 0.9125946605593541, 0.9405024747670807, 0.8993739156671947, 0.8961858305133559, 0.9466678617846098, 0.9439792952717028, 0.8940069501867255, 0.9474572121934605, 0.9490124089253188, 0.9560930101917984, 0.9302062897568515, 0.9407131439711538, 0.9258813155907998, 0.9507653219309661, 0.9322054904876991, 0.9582884777358196, 0.9429077099791369, 0.95418334658841, 0.9548878608971128, 0.9650970784078784, 0.9324865069050075, 0.9504024943310657, 0.9460143355848877, 0.9614163290475394, 0.9608813559322034, 0.9634737406278275, 0.9529848201881829, 0.9255446913819877, 0.9485114119087048, 0.9550622377458449, 0.9586790722054777, 0.9414622631151321, 0.9546013019580466]"
232,3ejw8iyv,mvtec_fcdd_20220520004942.normal_5.it_2,5,pixel-wise-averages-per-image,confetti,"[0.4537073198839882, 0.959155328798186, 0.9641006475939736, 0.9457161577774865, 0.9554543388899217, 0.9526779632152589, 0.9606823288660622, 0.9581065530432619, 0.9448548194822888, 0.9458761335366342, 0.940493077962483, 0.9607279480697202, 0.9669146736347981, 0.9457519297980941, 0.9334240362811791, 0.9470056349102346, 0.9550632478632478, 0.9550940112737866, 0.9536253109702272, 0.9593807898586056, 0.965208420979835, 0.9530793726844299, 0.9524372625907106, 0.9617929412590603, 0.9463228810677793, 0.9565807327001357, 0.9472283719346049, 0.9670819756675026, 0.9498946948998179, 0.9483606387319414, 0.9505124695063093, 0.9500197606142728, 0.9597854705021941, 0.9689716976238913, 0.9669505962521295, 0.9602616229564032, 0.9675685456403269, 0.9573387645754189, 0.9585213726158038, 0.9594505324895817, 0.9497700024015814, 0.9578835747093978, 0.9589790531335151, 0.9688530168062071, 0.9517599266151225, 0.9509802878065394, 0.9613681037871838, 0.9704444026034166, 0.9672227349329909, 0.9666329958936296, 0.9609610618273569]"
239,2cn2mf5p,mvtec_fcdd_20220520004942.normal_14.it_0,14,pixel-wise-averages-per-image,confetti,"[0.6768364726027398, 0.6251490122615804, 0.6685714285714286, 0.6778593857245543, 0.7471908831908832, 0.793616298811545, 0.822857142857143, 0.8503422489978668, 0.8497294003428972, 0.8713321264237761, 0.8962417507763975, 0.857377234668477, 0.8893590803703164, 0.9007860740249727, 0.9369841269841269, 0.8640264178562578, 0.8853784668086695, 0.9285600907029479, 0.9217157531498276, 0.9331635807011864, 0.9528854875283447, 0.9150412789935789, 0.918641160420512, 0.896569305422068, 0.9324834079333231, 0.9352277678268868, 0.9345463641008175, 0.9405282743707726, 0.9370803418803418, 0.9260332852837112, 0.8989965352457485, 0.9112731193886401, 0.9464266161054409, 0.9405070610607389, 0.9423899934354819, 0.9608072336522082, 0.912708751350517, 0.9212373529554145, 0.9538021845440297, 0.9250361126715352, 0.9330081802747338, 0.9150723646723645, 0.9379321189883371, 0.9456212378453465, 0.9506530512485767, 0.9228122133403224, 0.9323414107115295, 0.9274538568376663, 0.9239375043953211, 0.8981698916214392, 0.9322467702218598]"
